92,8
96,80
40,93
80,58
55,24
72,71
64,52
20,15
50,68
7,58
22,97
24,68
17,14
45,95
7,92
87,47
58,1
36,17
28,59
73,72
57,53
69,29
55,52
9,6
74,92
42,27
18,94
27,34
21,68
97,77
42,60
2,61
90,18
96,92
53,21
95,27
94,3
52,14
54,61
77,29
17,94
74,9
7,33
69,48
3,79
41,0
72,32
16,29
42,31
50,99
31,17
48,6
75,78
58,88
71,7
28,49
69,59
61,9
41,79
74,63
70,90
73,50
89,38
36,39
65,31
16,28
16,34
37,34
71,22
98,3
77,49
93,75
15,8
5,6
60,43
34,57
8,19
66,48
51,4
85,46
77,3
75,97
95,35
7,7
7,23
24,61
39,10
88,21
85,51
77,36
95,97
93,46
63,89
11,25
22,20
74,91
100,70
14,24
5,27
68,80
