-36,-70
10,49
7,92
-5,-77
-86,25
-53,12
42,72
-41,-64
48,99
55,-62
27,44
-51,-95
89,37
28,60
-87,63
22,-85
16,95
38,89
-47,-55
-61,10
85,-88
53,-37
-80,75
-34,13
-12,-86
-96,-51
-52,-40
-63,-77
74,64
-30,-67
-87,13
-16,86
8,-10
-34,80
42,41
-28,-51
-40,-67
-2,51
4,-9
-11,-43
16,19
79,32
-88,-9
-96,94
-75,-89
-37,100
-61,16
26,97
44,77
-1,2
64,-65
3,-52
27,-28
-98,70
70,71
34,79
-36,59
-22,-64
5,17
-80,-42
-35,-39
26,19
-62,-31
18,78
85,-5
-69,-20
-2,56
62,86
57,90
-99,-41
50,49
38,-81
-71,79
19,-33
78,31
-28,-98
-3,-22
18,-94
35,50
-40,-10
-23,-12
0,92
-22,-52
-100,57
66,-47
-42,-5
44,-33
60,80
82,-82
32,-30
-51,-82
-27,-45
78,-82
-4,-89
-83,-56
-37,61
16,95
43,-62
-87,33
-21,16
-39,22
44,7
-60,-61
62,-13
66,9
81,-79
22,46
-60,-13
-63,-55
48,-66
47,19
56,-57
-14,-62
-75,89
76,36
83,-36
-100,-47
-51,-41
-30,0
-61,-70
-13,-22
37,-43
53,92
23,-86
-19,-1
78,10
44,-52
-18,-59
-83,-54
-64,40
-86,-28
-79,-66
-77,-13
97,-29
-45,49
95,33
23,40
-12,-54
-34,8
86,-95
70,31
1,-68
-83,84
17,2
-72,-70
-30,39
40,-54
-86,3
-70,-39
-99,91
67,-99
67,59
19,13
45,-87
66,57
-97,-43
-49,-23
-34,22
19,90
-58,-88
0,-98
-52,79
40,-33
1,-92
97,-84
25,-73
59,58
91,25
91,100
-60,15
16,-16
-15,-82
29,-43
-71,-47
96,-95
68,-93
-25,65
12,82
63,-73
46,10
66,72
-64,20
53,-89
-67,-20
15,-99
23,-46
51,35
-52,80
-28,-95
68,-61
40,-20
13,65
-17,17
-82,-66
25,22
21,-72
-61,58
-84,57
-69,-50
84,30
53,17
61,-15
-24,-50
-76,-25
-66,-63
-20,-58
-76,46
-72,-95
-5,-50
40,49
20,-69
31,-82
-99,75
76,67
-53,-37
-62,-82
-79,25
35,97
-36,-40
-21,-9
-80,-36
82,66
-3,-64
68,-7
74,49
-21,0
98,29
86,78
-1,-57
-63,30
-67,19
17,27
8,-81
-51,24
-43,-16
87,-55
