22,96,26
60,21,47
51,20,51
15,99,27
36,92,63
24,85,82
29,32,49
29,69,26
83,10,27
17,33,58
49,73,29
24,70,68
17,93,11
32,85,31
72,83,53
18,18,70
83,10,27
87,64,99
69,12,84
88,34,18
68,15,24
49,73,29
70,33,14
10,36,44
43,56,77
86,17,29
26,59,86
59,30,81
83,10,27
25,20,98
64,42,15
18,39,13
12,90,71
29,69,26
53,12,28
45,56,83
15,99,27
29,32,49
29,83,39
13,67,60
64,42,15
87,88,71
97,87,73
22,96,26
53,12,28
87,82,82
51,74,34
69,18,19
42,49,98
55,45,84
22,30,31
87,64,99
68,62,22
83,63,13
90,98,17
91,34,54
39,21,11
43,56,32
83,10,27
27,45,68
10,36,44
53,12,28
87,64,99
76,20,48
78,22,73
60,54,37
51,25,61
46,60,15
28,89,62
10,36,44
29,83,39
29,83,39
29,83,39
59,44,17
84,35,55
97,87,73
10,36,44
63,62,67
32,38,46
36,92,63
86,42,16
84,98,89
87,82,82
29,83,39
53,95,32
18,39,13
51,20,51
76,20,48
15,15,18
74,27,39
74,42,18
50,24,99
86,69,52
85,26,70
83,10,27
38,92,35
15,59,80
37,78,42
50,24,99
96,78,94
75,38,69
52,29,56
91,94,62
50,49,64
60,57,12
96,20,42
33,49,84
23,63,32
10,12,22
74,11,33
51,62,87
54,33,38
74,27,39
42,49,98
53,42,35
24,85,82
76,34,29
65,66,49
14,52,94
51,20,51
70,66,79
90,80,25
51,20,51
24,68,32
18,18,70
86,17,29
15,15,18
74,11,33
33,49,84
14,79,17
60,12,38
84,79,61
23,63,32
83,10,27
53,42,35
53,28,80
48,74,61
36,92,63
10,29,27
18,39,13
25,20,98
55,54,21
18,39,13
42,63,89
50,49,64
13,67,60
97,87,73
25,20,98
36,92,63
39,62,14
15,90,45
32,38,46
55,54,21
82,13,48
50,24,99
18,46,21
53,12,28
57,75,71
29,32,49
18,28,95
90,50,62
51,62,87
46,60,15
89,51,15
51,62,87
74,42,18
64,42,15
87,13,82
43,56,32
78,72,95
42,91,97
74,42,18
86,42,16
50,49,64
97,87,73
17,32,90
36,92,63
72,40,88
78,45,70
91,94,62
54,33,38
51,62,87
18,46,21
74,27,39
74,42,18
28,20,85
97,87,73
15,59,80
19,65,90
53,42,35
57,25,49
80,45,27
84,79,61
69,83,52
43,56,32
12,71,92
51,44,31
50,49,64
16,19,99
67,63,25
70,33,14
13,56,79
71,47,59
83,77,61
91,34,54
90,50,62
28,86,25
39,21,11
89,51,15
53,28,80
42,67,45
29,83,39
28,20,85
51,62,87
74,11,33
76,56,86
50,49,64
70,45,60
21,43,99
15,59,80
15,99,27
97,87,73
46,60,15
73,81,35
42,49,98
15,22,13
26,59,86
74,42,18
10,36,44
70,33,14
52,29,56
69,14,60
10,36,44
84,98,89
25,70,41
90,98,17
83,10,27
29,87,94
59,30,81
76,56,86
47,45,59
53,42,35
97,24,93
24,85,82
51,74,34
22,96,26
89,48,90
87,82,82
74,50,26
51,81,14
27,45,68
63,25,77
26,59,86
54,33,38
69,55,80
34,64,86
54,33,38
73,50,65
64,42,15
81,46,30
55,45,84
38,39,73
29,83,39
50,24,99
28,35,54
63,25,77
15,22,13
24,70,68
39,66,84
96,20,42
63,25,77
51,44,31
42,91,97
44,54,73
90,50,62
39,24,41
97,87,73
80,29,54
91,94,62
10,29,27
73,81,35
36,92,63
57,38,85
84,98,89
42,16,52
62,54,35
80,91,27
18,18,70
24,85,82
69,12,84
88,34,18
16,19,99
70,27,26
53,95,32
15,59,80
69,14,60
25,11,99
70,27,26
24,70,68
81,46,30
64,42,15
97,87,73
34,19,59
74,50,26
39,72,86
12,84,83
83,10,27
63,25,77
89,48,90
14,79,17
70,27,26
84,79,61
91,34,54
24,85,82
83,10,27
62,47,98
65,65,88
57,70,36
63,65,54
42,91,97
26,86,85
28,20,85
21,24,97
64,42,15
76,69,29
60,12,38
83,10,27
79,73,28
99,95,97
60,54,37
68,15,24
28,20,85
42,49,98
17,44,88
51,44,31
26,59,86
70,66,79
71,47,59
75,52,10
54,33,38
29,83,39
76,56,86
83,10,27
76,69,29
74,50,26
59,30,81
51,62,87
83,10,27
70,33,14
34,19,59
10,36,44
42,74,70
45,86,84
51,62,87
94,47,10
29,87,94
50,49,64
89,48,90
15,59,80
22,96,26
33,35,47
63,25,77
69,92,36
22,96,26
69,18,19
10,36,44
17,60,44
49,73,29
38,39,73
28,35,54
76,34,29
51,36,52
60,72,87
89,51,15
29,69,26
42,16,52
73,81,35
57,75,71
15,59,80
83,66,35
68,44,87
67,63,25
33,35,47
25,20,98
10,29,27
78,72,95
13,85,58
45,56,83
10,36,44
39,21,11
24,15,41
48,74,61
15,99,27
69,49,88
15,22,13
51,44,31
41,91,98
86,14,91
65,66,49
64,42,15
39,21,11
75,38,69
59,44,17
98,58,50
83,10,27
15,15,18
70,33,14
86,42,16
63,25,77
83,10,27
25,20,98
24,85,82
42,67,45
17,93,11
12,39,56
15,15,18
74,27,39
34,50,43
14,52,94
12,90,71
12,34,45
78,22,73
74,27,39
46,60,15
30,62,95
63,25,77
21,43,99
22,47,44
52,85,18
17,33,58
87,13,82
34,19,59
42,16,52
19,65,90
15,59,80
15,53,67
67,63,25
86,42,16
50,49,64
65,66,49
50,49,64
46,60,15
36,92,63
57,41,52
10,36,44
